Catoptrophobia;fear of mirrors;Pažiūrėt į veidrodį
Cephalalgiaphobia;fear of headaches;Turėt galvos skausmą
Chemophobia;fear of chemicals;Paliest dirginančią medžiagą
Cherophobia;fear of happiness;Nusijuokt
Chionophobia;fear of snow;Paliest sniegą
Chiroptophobia;fear/dislike of bats, a zoophobia;Paliest šikšnosparnį
Chromophobia; chromatophobia,fear of colors;Pamatyt vaivorykštę
Chronophobia;fear of time and time moving forward;Paklaust kiek valandų
Chronomentrophobia;fear of clocks;Paliest laikrodį
Cibophobia; sitophobia,aversion to food, synonymous with anorexia nervosa;Sočiai pavalgyt
Claustrophobia;fear of having no escape and being closed in;Būt uždarytam bagažinėj
Coimetrophobia;fear of cemeteries;Apsilankyti kapinėse
Coprophobia;fear of feces or defecation;Paliest kaką
Coulrophobia;fear of clowns;Pasisveikint su klounu
Cyberphobia;fear of computers;Paliest kompą
Cynophobia;fear/dislike of dogs, a zoophobia;Paliest šunį
Dendrophobia;fear of trees;Apkabinti medį
Dentophobia;fear of dentists;Užeit pas dantistą
Diagraphephobia;fear of deleting files or an extreme fear of losing your computer data.;Duot draugeliui ištrint ką nors telefone tau nežinant
Domatophobia;fear of houses;Įeit į namą
Driving phobia; driving anxiety,fear of driving;Pavairuot
Dysmorphophobia; body dysmorphic disorder,a phobic obsession with a real or imaginary body defect;Pasakyt kitiem savo kūno defektą
Dystichiphobia;fear of being involved in an accident;*
Ecophobia;fear of cataclysmic environmental change;Neteisingai surūšiuot šiukšlę
Emetophobia;fear of vomiting;Vemt
Entomophobia;fear/dislike of insects, a zoophobia;Paliest vabalą
Ephebiphobia;fear of youth; inaccurate, exaggerated and sensational characterization of young people;Paliest vaiką
Equinophobia;fear of horses;Paliest arklį
Ergophobia; ergasiophobia,fear of work or functioning, or a surgeon's fear of operating;Skirt 10min savo darbui
Erotophobia;fear of sexual love or sexual abuse;Sexual love or abuse
Erythrophobia; erytophobia, ereuthophobia,fear of the color red, or fear of blushing;Susigėdyt
Eurotophobia;aversion to female genitals;Pamatyt vaginą
Frigophobia;fear of becoming too cold;5min šaltai
Galeophobia;fear of sharks;Paliest ryklį
Gamophobia;fear of marriage;Susituokti
Gelotophobia;fear of being laughed at;Kiti pasijuokia iš tavęs
Gephyrophobia;fear of bridges;Pereit tiltą
Genuphobia;fear of knees or the act of kneeling;Priklaupt
Gerascophobia;fear of growing old or aging;Pasakyt savo amžių
Gerontophobia;fear of growing old, or a hatred or fear of the elderly;Maloniai pasisveikint su senoliu
Globophobia;fear of balloons;Susprogdint balioną
Glossophobia;fear of speaking in public or of trying to speak;Surikti viešoje vietoje
Gymnophobia;fear of nudity;Būt nuogam prieš žmogų
Gynophobia;fear of adult women;Pasisveikint su 35+ moterim
Halitophobia;fear of bad breath;Nesivalyt dantų
Heptadekaphobia; heptadecaphobia,fear of the number 17;*
Hedonophobia;fear of obtaining pleasure;Pasimėgaut
Heliophobia;fear of the sun or sunlight;Pasidegint
Helminthophobia; scoleciphobia, vermiphobia,fear of worms, a zoophobia;Paliest kirminą
Hemophobia; haemophobia,fear of blood;Paliest kraują
Herpetophobia;fear/dislike of reptiles or amphibians, a zoophobia;Paliest driežą
Hexakosioihexekontahexaphobia;fear of the number 666;*
Hodophobia;fear of travel;Keliaut
Hypnophobia; somniphobia,fear of sleep or nightmares;Užmigt
Hypochondria;fear of illness;Susirgt
Ichthyophobia;fear of fish, including fear of eating fish, or fear of dead fish, a zoophobia;Paliest žuvį
Koumpounophobia;fear of buttons on clothing;Apsirengt drabužį su sagom
Lilapsophobia;fear of tornadoes or hurricanes;Pamatyt tornadą
Lepidopterophobia;fear of butterflies and moths, a zoophobia;Paliest drugelį/peteliškę
Mageiricophobia;fear of cooking;Pagamint
Masklophobia;fear of people in masks, costumes and mascots;Pastebėti žmogų su kauke
Musophobia; murophobia, suriphobia,fear/dislike of mice or rats, a zoophobia;Paliest pelę/žiurkę
Mycophobia;fear of mushrooms;Paliesti grybą
Myrmecophobia;fear of ants, a zoophobia;Paliesti skruzdę
Mysophobia; germophobia,fear of germs, contamination or dirt;Paliesti žemę
Necrophobia;fear of corpses or things associated with death (not to be confused with death anxiety);Pamatyt karkasą
Negrophobia;fear/dislike of black people;Pasisveikint
Neophobia; cainophobia, cainotophobia, centophobia, kainolophobia, kainophobia, metathesiophobia, prosophobia,fear of newness, novelty, change or progress;Paskaityt naujieną
Noctiphobia;fear of the night;Pabūt naktį
Nomophobia;fear of being out of mobile phone contact;Išjungt telefoną dienai
Nosocomephobia;fear of hospitals;Apsilankyt ligoninėje
Nostophobia; ecophobia,fear of returning home;Grįžti namo
Numerophobia;fear of numbers;Suskaičiuot iki 10 garsiai
Obesophobia;fear of gaining weight;Suvalgyt 2x porcijų
Ommetaphobia;fear of eyes;Pažiūrėt kažkam į akis iš arti
Oneirophobia;fear of dreams;Susapnuot
Ophidiophobia;fear/dislike of snakes, a zoophobia;Paliesti gyvatę
Ophthalmophobia;fear of being stared at;Paprašyt kad į tave pažiūrėtų
Ornithophobia;fear/dislike of birds, a zoophobia;Paliest paukštį
Osmophobia; olfactophobia,fear of odors;Pauostyt pažastį
Ostraconophobia;fear/dislike of shellfish, a zoophobia;Paliest jūrų gėrybę
Pedophobia; paedophobia, pediaphobia,fear of babies and children;Pamatyt kūdikį
Phagophobia;fear of swallowing;Nuryt tabletę be skysčio
Phallophobia;fear of erections or penises;Pamatyt penį
Pharmacophobia;fear of medications;Išgert vaistų
Phasmophobia;fear of ghosts or phantoms;Apsilankyt apleistoj patalpoj
Philophobia;fear of love;Šauk komplimentą
Phyllophobia;fear of leaves;Paliesti lapus
Phobophobia;fear of fear itself or of having a phobia;Pasakyk ko bijai
Pogonophobia;fear of beards;Paglostyt barzdą
Pornophobia;dislike or fear of pornography; may be used in reference to the opposition to visual nudity;Pamatyt porno
Porphyrophobia;fear of the color purple;*
Pteromerhanophobia;fear of flying;*
Pyrophobia;fear of fire;Sukurt ugnį
Radiophobia;fear of radioactivity or X-rays;Pasidaryt XRAYJŲ
Siderodromophobia;fear of trains or railroads;Įlipt į traukinį
Spheksophobia;fear of wasps, a zoophobia;Paliest širšę
Submechanophobia;fear of partially or fully submerged man-made objects;Paliest žmogaus sukurtą objektą vandeny
Taphophobia; taphephobia,fear of graves, or fear of being placed in a grave while still alive;Būk dalinai užkastas
Technophobia;fear of advanced technology (see also Luddite);Pabendraut su ChatGPT
Telephone phobia;fear or reluctance of making or taking telephone calls;Paskambint ir pakalbėt
Teratophobia;fear of giving birth to a monster or a disfigured foetus;Pagimdyt
Tetraphobia;fear of the number 4;*
Thalassophobia;fear of the sea, or fear of being in the ocean;Įlipt į jūrą
Thanatophobia;fear of dying, a synonym of death anxiety; not to be confused with necrophobia;Mirt
Thermophobia;fear of intolerance to high temperatures;Užgesint degtuką
Tokophobia;fear of childbirth or pregnancy;Būt nėščiam
Tomophobia;fear of invasive medical procedure;Turėt operaciją
Toxiphobia;fear of being poisoned;Apsinuodyt
Traumatophobia;a synonym for injury phobia: fear of having an injury;Susižeist
Trichophobia;delusional fear of something in the roots of the hair that stops it from growing, or fear of hair loss;Praplikt
Triskaidekaphobia; terdekaphobia,fear of the number 13;*
Trypophobia;fear of holes or textures with a pattern of holes;Kišt pirštą į skylę
Veloxrotaphobia;fear of roller coasters;Pavažinėt linksmaisiais kalneliais
Xanthophobia;fear of the color yellow;*
